,timestamp,gender,education_qualifications,current_occupation,political_view,device,news_source,concerned_about_consequences,share_type,age,gender_norm,education_qualifications_norm,political_view_norm,minute_per_day,post_per_day,share_per_week,importance_to_let_other_know,motivated_to_share,urgency,verification_importance,trustworthiness,verification_level,outcome,personal_interest,political_interest,concerned_about_consequences_norm
36,11/13/2018 0:47,male,hsc,student,not interested,both,Don't share,Maybe,"informative,educational,personal",23,1,2,0,135,0,0,4,1,4,7,4,6,4,4,4,2
37,11/13/2018 0:58,female,hsc,student,not interested,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,"motivational,educational",22,2,2,0,250,0,0,6,6,7,7,7,7,4,2,1,2
38,11/13/2018 1:00,male,bachelors,student,not interested,both,From newsfeed shared by others,Maybe,awareness,25,1,3,0,120,0,0,7,5,7,6,4,7,5,2,1,2
39,11/13/2018 1:08,female,bachelors,student,not interested,smartphone,From news portal website,Maybe,"personal,entertainment",22,2,3,0,240,1,0,1,7,7,7,7,7,7,7,1,2
40,11/13/2018 1:17,male,hsc,student,neutral,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,"informative,scientific",20,1,2,1,40,0,6,4,6,3,4,6,6,4,2,1,2
41,11/13/2018 1:17,female,bachelors,student,liberal,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Yes,"personal,entertainment",22,2,3,1,,0,0,7,1,7,4,7,4,4,1,1,3
42,11/13/2018 1:28,male,bachelors,student,liberal,computer,"From news portal website,From newsfeed posted by others",Yes,"entertainment,philosophical,scientific,informative,news",21,1,3,1,180,2,15,4,5,4,7,7,7,5,3,3,3
43,11/13/2018 1:37,male,ssc,student,not interested,both,From newsfeed posted by others,Maybe,"news,scientific,educational,informative,entertainment",18,1,1,0,180,1,6,6,5,5,7,6,7,5,4,1,2
44,11/13/2018 1:38,male,hsc,student,not interested,both,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,,25,1,2,0,360,0,1,1,1,2,7,4,7,4,5,1,2
45,11/13/2018 1:45,male,bachelors,student,leftist,both,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Yes,"personal,entertainment,news,scientific",24,1,3,1,,2,7,4,6,5,7,6,7,4,7,4,3
46,11/13/2018 1:59,female,hsc,student,not interested,smartphone,"From news portal website,From newsfeed posted by others",Maybe,"personal,news",22,2,2,0,240,2,3,3,6,3,7,7,7,5,3,1,2
47,11/13/2018 2:15,male,hsc,student,liberal,smartphone,From news portal website,Maybe,entertainment,20,1,2,1,60,1,4,5,3,3,7,5,7,4,2,5,2
48,11/13/2018 2:17,male,hsc,student,not interested,both,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Yes,"personal,scientific",19,1,2,0,90,1,3,6,5,5,7,7,7,5,4,2,3
49,11/13/2018 2:19,male,bachelors,student,not interested,both,From news portal website,Yes,"awareness,sports",23,1,3,0,240,2,6,3,2,4,3,4,4,4,4,4,3
50,11/13/2018 2:29,male,hsc,student,neutral,smartphone,From newsfeed shared by others,Maybe,entertainment,23,1,2,1,180,0,3,1,1,2,7,6,7,4,1,1,2
51,11/13/2018 2:31,male,bachelors,student,not interested,smartphone,"From newsfeed posted by others,From newsfeed shared by others",Yes,"religious,political,news",24,1,3,0,420,2,2,4,5,6,7,6,6,4,4,2,3
52,11/13/2018 2:34,male,hsc,student,neutral,smartphone,"From news portal website,From newsfeed posted by others,From newsfeed shared by others",Maybe,entertainment,21,1,2,1,150,3,2,2,2,2,7,4,1,5,1,1,2
53,11/13/2018 2:44,male,hsc,student,neutral,both,Don't share,Maybe,,24,1,2,1,240,2,0,1,1,1,7,2,7,4,1,1,2
54,11/13/2018 2:57,male,bachelors,student,not interested,both,"From newsfeed posted by others,From newsfeed shared by others",Maybe,personal,21,1,3,0,360,1,8,4,2,3,7,7,7,4,6,1,2
55,11/13/2018 3:06,male,bachelors,freelancer,liberal,both,"From news portal website,From newsfeed posted by others",Yes,,25,1,3,1,180,3,2,5,7,5,7,7,7,4,5,5,3
